CASEID,DIARYDAY,TRAVEL_DUR,TRAVEL_WORK_DUR,TRAVEL_SOCO_DUR,TRAVEL_ENT_DUR,TRAVEL_EXE_DUR,OTHER_TRAVEL_DUR,EXE_DUR,ALONE_EXE_DUR,GROUP_EXE_DUR,INT_DUR,ALONE_INT_DUR,GROUP_INT_DUR,WORK_DUR,ALONE_WORK_DUR,GROUP_WORK_DUR,LEI_DUR,ALONE_LEI_DUR,GROUP_LEI_DUR,SLEEP_DUR,OTHER_DUR,AGE,SEX,EDU,EMP_STAT,HOUSE,INC,CHILDREN,ADULT
2.02E+13,4,20,0,0,0,0,20,15,15,0,0,0,0,480,480,0,150,60,90,550,225,51,2,44,1,1,16,0,3
2.02E+13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,930,0,420,90,64,1,39,5,1,5,0,1
2.02E+13,4,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,660,660,0,550,210,62,1,38,5,1,9,0,1
2.02E+13,1,20,0,0,0,0,20,90,90,0,0,0,0,0,0,0,770,0,770,465,95,33,1,40,1,1,16,0,2
2.02E+13,1,20,0,0,0,10,10,165,45,120,30,30,0,0,0,0,519,519,0,525,181,79,1,46,5,1,13,0,2
2.02E+13,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,610,610,0,540,280,77,1,39,5,1,6,0,1
2.02E+13,3,130,60,0,0,0,70,0,0,0,10,10,0,515,0,515,210,165,45,485,90,60,1,40,1,1,11,0,3
2.02E+13,1,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,335,335,0,600,415,70,1,32,5,1,6,0,1
2.02E+13,3,20,0,0,0,20,0,60,0,60,0,0,0,440,440,0,295,295,0,560,65,58,1,42,1,1,16,0,4
2.02E+13,1,181,0,0,0,45,136,105,0,105,0,0,0,0,0,0,30,0,30,590,534,41,1,44,1,1,13,4,2
2.02E+13,1,70,0,0,0,0,70,0,0,0,0,0,0,0,0,0,240,60,180,785,345,55,2,44,1,1,15,1,2
2.02E+13,1,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,705,705,0,465,230,80,1,40,5,1,12,0,1
2.02E+13,7,20,0,0,0,0,20,0,0,0,0,0,0,120,0,120,150,30,120,560,590,50,2,40,1,1,4,2,1
2.02E+13,7,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,280,60,220,480,620,44,2,43,1,1,11,0,1
2.02E+13,6,138,40,0,0,0,98,0,0,0,0,0,0,521,0,521,0,0,0,488,293,45,2,43,1,1,15,3,3
2.02E+13,2,151,0,0,0,0,151,0,0,0,40,10,30,0,0,0,65,0,65,395,789,38,2,44,5,1,15,4,2
2.02E+13,2,310,0,205,0,0,105,10,10,0,0,0,0,0,0,0,470,470,0,360,290,52,1,46,5,1,7,1,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,510,60,580,290,76,1,45,5,1,16,0,2
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,240,590,610,42,1,39,1,1,14,0,2
2.02E+13,1,30,0,0,0,0,30,0,0,0,10,0,10,0,0,0,0,0,0,450,950,73,1,46,5,1,15,0,2
2.02E+13,1,30,0,0,0,10,20,180,180,0,0,0,0,270,270,0,290,20,270,460,210,61,1,43,1,1,16,0,2
2.02E+13,1,90,0,0,0,0,90,0,0,0,30,0,30,425,155,270,340,0,340,250,305,29,2,42,1,1,9,0,2
2.02E+13,7,125,0,0,0,0,125,135,0,135,0,0,0,0,0,0,360,0,360,495,325,33,1,40,4,1,15,0,2
2.02E+13,1,62,30,0,0,0,32,0,0,0,150,150,0,465,0,465,313,180,133,390,60,67,2,44,1,1,11,0,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,504,504,0,0,0,0,0,0,0,930,6,25,2,43,1,1,13,0,1
2.02E+13,5,131,0,0,0,0,131,0,0,0,0,0,0,0,0,0,630,0,630,619,60,48,2,41,2,1,15,1,2
2.02E+13,1,40,0,0,0,0,40,30,30,0,0,0,0,0,0,0,300,300,0,655,415,67,2,40,1,1,7,0,1
